id,value
id_0,5.336827992135365
id_1,17.437122989378064
id_2,24.4451566554551
id_3,8.181365826219551
id_4,27.60903587548813
id_5,21.996802602109387
id_6,23.346177040579786
id_7,30.924866086223386
id_8,17.13856138554802
id_9,58.81040623548727
id_10,13.625208727675174
id_11,10.41739039262818
id_12,61.96636814382098
id_13,52.69876353155838
id_14,22.072488509289222
id_15,11.692371939013011
id_16,31.878394873338095
id_17,67.72831316239963
id_18,-0.9110081135570988
id_19,16.793895330740437
id_20,42.12390573006956
id_21,71.75965208404341
id_22,9.42169633023295
id_23,18.068971554346277
id_24,14.985193448482338
id_25,38.05761398565183
id_26,14.256187058016003
id_27,72.27336648862322
id_28,7.594765806270535
id_29,55.15504187090957
id_30,23.53556460569627
id_31,8.41091452102776
id_32,2.5705088623893375
id_33,20.329827612621084
id_34,29.42409378460833
id_35,37.02384795724111
id_36,42.970239286213705
id_37,29.952864948661958
id_38,43.42950530355864
id_39,35.367658454807334
id_40,7.1737706825238075
id_41,40.49576231003949
id_42,31.189639650577504
id_43,50.34319645692971
id_44,16.615917428221838
id_45,35.05458507915254
id_46,24.75525829958536
id_47,10.275329066693152
id_48,25.038178644161686
id_49,32.204692061280866
id_50,21.034795039589874
id_51,8.769806662461608
id_52,20.818014919014303
id_53,53.37646489974944
id_54,15.94027501962309
id_55,35.996030391427645
id_56,32.38515744552594
id_57,22.66126158566138
id_58,57.88527692666813
id_59,21.56820151971776
id_60,15.320362217604155
id_61,41.41465522268392
id_62,12.410718797680545
id_63,48.635633970597304
id_64,15.09208895207546
id_65,15.33799010057822
id_66,14.056391233821941
id_67,-0.2785293725286251
id_68,43.5962775678497
id_69,30.879116836262614
id_70,20.15477074634607
id_71,39.69491160486727
id_72,59.95570177904026
id_73,5.095096693959744
id_74,16.62206194762644
id_75,5.193381559300537
id_76,40.23412248693275
id_77,14.60395609203413
id_78,22.370745077652785
id_79,22.222091322568577
id_80,24.760988392845547
id_81,37.818313290322635
id_82,22.635002565851067
id_83,90.81293409868876
id_84,36.39485816846097
id_85,26.65854327520267
id_86,23.12160654141582
id_87,31.353779965332734
id_88,24.34780179748587
id_89,20.940793021112796
id_90,29.406324354974007
id_91,40.87892218401743
id_92,4.354163859604206
id_93,37.886362060035864
id_94,45.83440430588335
id_95,16.172886187798987
id_96,33.316905349210266
id_97,12.05970234639616
id_98,24.601789944894765
id_99,3.9445306299661276
id_100,18.120999580733912
id_101,27.903040127031815
id_102,12.831561479498301
id_103,15.646790619417727
id_104,23.32224354230961
id_105,39.377365500514095
id_106,30.48547344780963
id_107,6.794558113171938
id_108,7.91312957814203
id_109,78.14493677161377
id_110,46.69858862317674
id_111,15.665844281674964
id_112,28.138857344709265
id_113,15.325504295010651
id_114,14.205050281830607
id_115,25.097011612628346
id_116,25.234490351098813
id_117,10.020272414030702
id_118,17.86785169302821
id_119,19.488912941197135
id_120,80.63832203314114
id_121,25.529938586990294
id_122,36.04375605198525
id_123,25.13636797340587
id_124,8.261402768499687
id_125,40.20293774830366
id_126,10.338374397923308
id_127,20.29286316779915
id_128,28.41364173031466
id_129,62.699565572929096
id_130,21.96338968326821
id_131,22.54761156732588
id_132,59.30971348210524
id_133,14.948366866746424
id_134,14.676060492361868
id_135,2.462344299255928
id_136,11.773537449123216
id_137,58.758866881852434
id_138,19.651205508166786
id_139,5.934393529404553
id_140,28.222103562656475
id_141,25.66879877612735
id_142,44.54107800592074
id_143,30.901874199077607
id_144,18.169961154282742
id_145,26.506529342632835
id_146,11.222852577181548
id_147,51.84408756133456
id_148,23.02021585167323
id_149,38.078237726851334
id_150,9.34833836679179
id_151,7.486406977917402
id_152,24.031607612589305
id_153,6.912019853496734
id_154,14.710449259865158
id_155,41.330255483260835
id_156,8.169846191282375
id_157,36.7622103071161
id_158,10.3980561531937
id_159,18.55540453092865
id_160,41.0807519243905
id_161,18.480530957567055
id_162,11.786896376904897
id_163,7.679351598542134
id_164,51.61626301895913
id_165,30.254135179352044
id_166,-0.38236741939055685
id_167,15.31280725741253
id_168,63.23175808743122
id_169,14.108906061189053
id_170,64.36083920006746
id_171,39.56252213170279
id_172,26.31633067758726
id_173,20.58446856273392
id_174,61.55576831919005
id_175,24.812152406383472
id_176,20.967133492366457
id_177,37.003519312410454
id_178,12.014700118863656
id_179,30.76226564658449
id_180,16.58630020839206
id_181,11.575030009131845
id_182,55.45535082308189
id_183,46.02529131866294
id_184,16.60561098219199
id_185,35.44707314174739
id_186,26.391767174630147
id_187,69.7619000882023
id_188,9.877731345676889
id_189,56.66694298853699
id_190,38.18867022933253
id_191,16.227746199590545
id_192,29.797816370610246
id_193,0.5394745027508423
id_194,19.42857848315993
id_195,0.8213398602961053
id_196,34.045802793297874
id_197,10.46925423818002
